run_id,chan_id,num_train_values,num_test_values,n_predicted_anoms,normalized_pred_error,anom_scores,false_positives,false_negatives,true_positives,fp_sequences,tp_sequences,num_true_anoms,scores,spacecraft,anomaly_sequences,class
2018-05-19_15.00.10,P-1,2612,8245,4,0.08504268362782921,"[2.0284713382242288, 2.163556600069587, 2.2936227645004643, 0.9175092092214928]",1,0,3,"[[3190, 3329]]","[(2130, 2349), (3540, 3679), (4520, 4589)]",3,"[2.0284713382242288, 2.163556600069587, 2.2936227645004643, 0.9175092092214928]",SMAP,"[[2149, 2349], [4536, 4844], [3539, 3779]]","[contextual, contextual, contextual]"
2018-05-19_15.00.10,S-1,2558,7071,1,0.19105796561451277,[8.138666940319895],0,0,1,[],"[(5290, 5656)]",1,[8.138666940319895],SMAP,"[[5300, 5747]]",[point]
2018-05-19_15.00.10,E-1,2620,8256,3,0.06767098449239176,"[3.370114878281593, 8.024256056978087, 9.328760046828243]",1,0,2,"[[1751, 2001]]","[(5010, 5149), (5570, 5965)]",2,"[3.370114878281593, 8.024256056978087, 9.328760046828243]",SMAP,"[[5000, 5030], [5610, 6086]]","[contextual, contextual]"
2018-05-19_15.00.10,E-2,2620,8272,1,0.0688159420907057,[6.824719626854002],0,0,1,[],"[(5570, 5919)]",1,[6.824719626854002],SMAP,"[[5598, 6995]]",[point]
2018-05-19_15.00.10,E-3,2620,8047,1,0.01772920489574975,[4.480692217955792],0,0,1,[],"[(5570, 5779)]",1,[4.480692217955792],SMAP,"[[5094, 8306]]",[point]
2018-05-19_15.00.10,E-4,2620,8094,1,0.055096225689887604,[2.0326206902890367],0,0,1,[],"[(5570, 5975)]",1,[2.0326206902890367],SMAP,"[[5450, 8261]]",[point]
2018-05-19_15.00.10,E-5,2620,8034,1,0.08285122064195197,[4.205687877212405],0,0,1,[],"[(5570, 5709)]",1,[4.205687877212405],SMAP,"[[5600, 5920]]",[point]
2018-05-19_15.00.10,E-6,2620,8040,1,0.008470635240202164,[15.60290263644247],0,0,1,[],"[(5570, 5779)]",1,[15.60290263644247],SMAP,"[[5610, 5675]]",[point]
2018-05-19_15.00.10,E-7,2509,8050,1,0.025006510671402683,[9.12300609668354],0,0,1,[],"[(5430, 5766)]",1,[9.12300609668354],SMAP,"[[5394, 5674]]",[point]
2018-05-19_15.00.10,E-8,2620,8272,1,0.06826617166365764,[2.8969791401437726],0,0,1,[],"[(5710, 5919)]",1,[2.8969791401437726],SMAP,"[[5400, 6022]]",[point]
2018-05-19_15.00.10,E-9,2620,8042,1,0.045882516508407994,[1.060322064489463],0,0,1,[],"[(5710, 5919)]",1,[1.060322064489463],SMAP,"[[5550, 5900]]",[point]
2018-05-19_15.00.10,E-10,2620,8245,3,0.07062565687494626,"[4.267897763156495, 8.728884354887802, 11.924391407555637]",1,0,2,"[[1748, 1999]]","[(5010, 5149), (5570, 5963)]",2,"[4.267897763156495, 8.728884354887802, 11.924391407555637]",SMAP,"[[5000, 5050], [5601, 5871]]","[contextual, contextual]"
2018-05-19_15.00.10,E-11,2620,8254,3,0.075568406879118,"[3.8528335048668203, 6.862131298941512, 11.610906656377898]",1,0,2,"[[1718, 2000]]","[(5010, 5149), (5570, 5964)]",2,"[3.8528335048668203, 6.862131298941512, 11.610906656377898]",SMAP,"[[5000, 5050], [5614, 5857]]","[contextual, contextual]"
2018-05-19_15.00.10,E-12,2620,8252,5,0.06191818691774454,"[3.8077568434747, 6.653533610565083, 6.6914209834886424, 5.847826225188652, 6.725161093642827]",1,0,2,"[[1775, 2008]]","[(5010, 5149), (5570, 5709), (5850, 5919), (5990, 6594)]",2,"[3.8077568434747, 6.653533610565083, 6.6914209834886424, 5.847826225188652, 6.725161093642827]",SMAP,"[[5610, 6141], [5000, 5050]]","[contextual, contextual]"
2018-05-19_15.00.10,E-13,2620,8380,2,0.06053150637609552,"[3.4675150232537755, 3.75929917794407]",0,1,2,[],"[(5570, 5709), (6480, 6549)]",3,"[3.4675150232537755, 3.75929917794407]",SMAP,"[[5309, 5410], [5600, 5640], [6449, 6569]]","[contextual, contextual, contextual]"
2018-05-19_15.00.10,A-1,2620,8380,1,0.012466907437206168,[3.2014438937526872],0,0,1,[],"[(4730, 4869)]",1,[3.2014438937526872],SMAP,"[[4690, 4774]]",[point]
2018-05-19_15.00.10,D-1,2589,8249,2,0.07326525651190066,"[2.278115392864505, 8.198180903761623]",0,0,1,[],"[(5220, 5359), (5570, 5919)]",1,"[2.278115392864505, 8.198180903761623]",SMAP,"[[5250, 8508]]",[point]
2018-05-19_15.00.10,P-2,2561,7949,1,0.05388438738300663,[13.217212418189407],0,0,1,[],"[(5290, 5709)]",1,[13.217212418189407],SMAP,"[[5350, 6575]]",[point]
2018-05-19_15.00.10,P-3,2595,8233,2,0.0362525603243089,"[7.791678120222637, 8.448433802365553]",0,0,1,[],"[(5360, 5673), (5780, 6059)]",1,"[7.791678120222637, 8.448433802365553]",SMAP,"[[5401, 6736]]",[point]
2018-05-19_15.00.10,D-2,2620,8335,2,0.02016029494519032,"[15.017099027602761, 5.261292291141255]",0,0,1,[],"[(4660, 4869), (8440, 8509)]",1,"[15.017099027602761, 5.261292291141255]",SMAP,"[[4319, 8536]]",[point]
2018-05-19_15.00.10,D-3,2620,8380,1,0.0563718073335617,[13.817232467799117],0,0,1,[],"[(5360, 5919)]",1,[13.817232467799117],SMAP,"[[5225, 8500]]",[point]
2018-05-19_15.00.10,D-4,2573,8213,1,0.047635769302921085,[9.657096464306079],0,0,1,[],"[(5290, 5779)]",1,[9.657096464306079],SMAP,"[[5225, 8472]]",[point]
2018-05-19_15.00.10,A-2,2388,7654,3,0.07482639799114815,"[1.8545669243939444, 1.901390805835339, 3.8800572288975474]",2,0,1,"[[1043, 1345], [1463, 1716]]","[(4450, 4659)]",1,"[1.8545669243939444, 1.901390805835339, 3.8800572288975474]",SMAP,"[[4450, 4560]]",[contextual]
2018-05-19_15.00.10,A-3,2476,7945,1,0.04875772269698467,[3.4511957887796356],0,0,1,[],"[(4590, 4869)]",1,[3.4511957887796356],SMAP,"[[4575, 4760]]",[contextual]
2018-05-19_15.00.10,A-4,2430,7820,1,0.05631382313510564,[2.940729276677513],0,0,1,[],"[(4520, 4796)]",1,[2.940729276677513],SMAP,"[[4550, 4660]]",[contextual]
