run_id,chan_id,spacecraft,num_anoms,anomaly_sequences,class,true_positives,false_positives,false_negatives,tp_sequences,fp_sequences,gaussian_p-value,num_values,normalized_error,eval_time,scores
2019-11-14_11.34.30,P-1,SMAP,42,"[[2149, 2349], [4536, 4844], [3539, 3779]]","[contextual, contextual, contextual]",3,0,0,"[(2146, 2349), (3680, 3749), (4520, 4589)]",[],,8505,0.0878696346530208,,"[11.682754721530276, 11.283237982067947, 12.032206086605484]"
2019-11-14_11.34.30,S-1,SMAP,14,"[[5300, 5747]]",[point],1,0,0,"[(5290, 5627)]",[],,7331,0.1871515690463495,,[3.489133486237539]
2019-11-14_11.34.30,E-1,SMAP,28,"[[5000, 5030], [5610, 6086]]","[contextual, contextual]",2,1,0,"[(5010, 5149), (5570, 5966)]","[[1776, 1998]]",,8516,0.07249836734894939,,"[41.25036008607996, 41.316334878777624, 41.23826919906536]"
2019-11-14_11.34.30,E-2,SMAP,14,"[[5598, 6995]]",[point],1,0,0,"[(5570, 5919)]",[],,8532,0.0553948301607772,,[74.15780736405948]
2019-11-14_11.34.30,E-3,SMAP,14,"[[5094, 8306]]",[point],1,0,0,"[(5570, 5709)]",[],,8307,0.026546367468704982,,[170.59434453548891]
2019-11-14_11.34.30,E-4,SMAP,14,"[[5450, 8261]]",[point],1,0,0,"[(5570, 6059), (6130, 6339)]",[],,8354,0.05602448420698705,,"[18.091038185185692, 17.62157865305008]"
2019-11-14_11.34.30,E-5,SMAP,14,"[[5600, 5920]]",[point],1,1,0,"[(5570, 5639)]","[[1715, 1924]]",,8294,0.08736910922640602,,"[51.532666397519726, 51.44703551382122]"
2019-11-14_11.34.30,E-6,SMAP,14,"[[5610, 5675]]",[point],1,0,0,"[(5570, 5789)]",[],,8300,0.005140129834896058,,[78.46770212328643]
2019-11-14_11.34.30,E-7,SMAP,14,"[[5394, 5674]]",[point],1,0,0,"[(5430, 5765)]",[],,8310,0.02146227068798574,,[30.208720786345744]
2019-11-14_11.34.30,E-8,SMAP,14,"[[5400, 6022]]",[point],0,0,1,[],[],,8532,0.06561821701964093,,[]
2019-11-14_11.34.30,E-9,SMAP,14,"[[5550, 5900]]",[point],0,0,1,[],[],,8302,0.05289999036341645,,[]
